Plot,ComName,Species,Circum_cm,Shade_Tolerance,Plot.Slope,Plot.Aspect,Plot.Facing,Plot.Elevation,Plot.X_coord,Plot.Y_coord
1,Red maple,Acer rubrum,42.4,Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Ostrya virginiana,22.3,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,26.7,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Chestnut oak,Quercus montana,84.8,Intermediate,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,22.9,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Chestnut oak,Quercus montana,149.9,Intermediate,19,155,S,253.31,-82.1222,39.325801
1,Bitternut hickory,Carya cordiformis,70.7,Intolerant,19,155,S,253.31,-82.1222,39.325801
1,Flowering dogwood,Cornus florida,13.8,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,40.2,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Red maple,Acer rubrum,91.1,Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,15.7,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Bitternut hickory,Carya cordiformis,71.0,Intolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,33.0,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Chestnut oak,Quercus montana,65.0,Intermediate,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,17.3,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Red maple,Acer rubrum,41.8,Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,20.1,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,16.0,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,32.0,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,42.1,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,22.0,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,33.0,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,14.1,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,27.3,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,34.9,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
1,Sugar maple,Acer saccharum,36.4,Very Tolerant,19,155,S,253.31,-82.1222,39.325801
2,Sugar maple,Acer saccharum,23.6,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,18.5,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,28.0,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,33.9,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,White oak,Quercus alba,178.1,Intermediate,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,24.8,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,24.8,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,169.0,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,Pignut hickory,Carya glabra,38.0,Intermediate,13,160,S,223.28,-82.12162,39.325568
2,Pignut hickory,Carya glabra,26.7,Intermediate,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,62.8,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,White oak,Quercus alba,249.8,Intermediate,13,160,S,223.28,-82.12162,39.325568
2,Pignut hickory,Carya glabra,25.8,Intermediate,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,27.6,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
2,White oak,Quercus alba,202.6,Intermediate,13,160,S,223.28,-82.12162,39.325568
2,Sugar maple,Acer saccharum,13.2,Very Tolerant,13,160,S,223.28,-82.12162,39.325568
